weights,ic_mean,ic_ir,long_short_return,sharpe_ratio,max_drawdown,win_rate
"{'ma5_bias': -1, 'ma5_slope': 0.5, 'v_ratio10': -0.5, 'cost_peak': 0}",0.030253622737901643,0.20632413162269528,-0.25945843270953267,-1.2821898172928976,-0.30920082605573646,0.5
"{'ma5_bias': -1, 'ma5_slope': 0.5, 'v_ratio10': -0.5, 'cost_peak': 0.5}",0.017949514000445452,0.12931948625902942,-0.1462594384072666,-0.7963579969158169,-0.20766027081421742,0.5
"{'ma5_bias': -1, 'ma5_slope': 0.5, 'v_ratio10': -0.5, 'cost_peak': 1}",0.0025903259313983453,0.018007032318253107,-0.2500792939661992,-1.3923511359325902,-0.18589245240976365,0.5
"{'ma5_bias': -1, 'ma5_slope': 0.5, 'v_ratio10': 0, 'cost_peak': -1}",0.033678404936942546,0.20287201485142087,-0.3822641489791929,-1.7366679299734455,-0.3779968563311362,0.5
"{'ma5_bias': -1, 'ma5_slope': 0.5, 'v_ratio10': 0, 'cost_peak': -0.5}",0.0324296645474749,0.19541088448513427,-0.3577034015596464,-1.6489852568084178,-0.2750846121228068,0.5
"{'ma5_bias': -1, 'ma5_slope': 0.5, 'v_ratio10': 0, 'cost_peak': 0}",0.02779331133994694,0.1730252898612788,-0.4059258919494534,-1.9204212610108724,-0.3370009463391381,0.5
"{'ma5_bias': -1, 'ma5_slope': 0.5, 'v_ratio10': 0, 'cost_peak': 0.5}",0.006258942032265843,0.04208393297119707,-0.43283138700643303,-2.235072938857209,-0.3076267308848713,0.5
"{'ma5_bias': -1, 'ma5_slope': 0.5, 'v_ratio10': 0, 'cost_peak': 1}",-0.014231407013084082,-0.0936943141484657,-0.249193142165244,-1.2767375932104306,-0.27436262454223664,0.5
"{'ma5_bias': -1, 'ma5_slope': 0.5, 'v_ratio10': 0.5, 'cost_peak': -1}",0.02485119178923365,0.15063489302130362,-0.36942523727926396,-1.6764433744169003,-0.3588798772688385,0.5
"{'ma5_bias': -1, 'ma5_slope': 0.5, 'v_ratio10': 0.5, 'cost_peak': -0.5}",0.020104860337164493,0.12442568124981107,-0.42559953689824936,-2.006667516628078,-0.3451819602171629,0.5
"{'ma5_bias': -1, 'ma5_slope': 0.5, 'v_ratio10': 0.5, 'cost_peak': 0}",0.005352116546140111,0.03704462600262079,-0.4090169739608849,-2.130172013566341,-0.36008692822079785,0.5
"{'ma5_bias': -1, 'ma5_slope': 0.5, 'v_ratio10': 0.5, 'cost_peak': 0.5}",-0.02322728014197876,-0.16394335624543227,-0.403850539648399,-2.136405846803145,-0.34209483760453735,0.5
"{'ma5_bias': -1, 'ma5_slope': 0.5, 'v_ratio10': 0.5, 'cost_peak': 1}",-0.033736787118748224,-0.22651831249892945,-0.38262941230433184,-1.9283834108856386,-0.3119112011175703,0.5
"{'ma5_bias': -1, 'ma5_slope': 0.5, 'v_ratio10': 1, 'cost_peak': -1}",0.010888846077273705,0.07062482182028343,-0.3903025133663241,-1.9642409155618894,-0.30120799818047006,0.5
"{'ma5_bias': -1, 'ma5_slope': 0.5, 'v_ratio10': 1, 'cost_peak': -0.5}",0.0009932248695310496,0.006848447662124308,-0.41920474374937405,-2.1825251695376724,-0.31842443231329826,0.5
"{'ma5_bias': -1, 'ma5_slope': 0.5, 'v_ratio10': 1, 'cost_peak': 0}",-0.01704742219706304,-0.13366869693555714,-0.5187008395712491,-2.850009116551473,-0.3562351644535381,0.5
"{'ma5_bias': -1, 'ma5_slope': 0.5, 'v_ratio10': 1, 'cost_peak': 0.5}",-0.0357537751609565,-0.2751935347377497,-0.5361825745424252,-3.0344950769242587,-0.36898345640523295,0.5
"{'ma5_bias': -1, 'ma5_slope': 0.5, 'v_ratio10': 1, 'cost_peak': 1}",-0.042241077160704264,-0.30117035284305577,-0.385111057724169,-2.058187274649457,-0.29077271571494445,0.5
