code,name,price,change_pct,volume,enhanced_score,grade,trend,momentum,tech,rsi,momentum_3d,momentum_10d,momentum_20d,position,reasons
600745,闻泰科技,33.89,2.36,32300418,82.2,S,75,100,92.5,51.2,1.44,9.22,-3.67,0.34,"偏多趋势,强势上涨(3日+1.4%),量价齐升"
001300,三柏硕,17.27,2.25,2597500,82.2,S,75,100,92.5,48.8,1.35,8.01,0.41,0.74,"偏多趋势,强势上涨(3日+1.3%),量价齐升"
600438,通威股份,18.79,-2.74,78191053,82.2,S,75,50,100.0,56.8,-3.89,-1.52,-4.13,0.17,"偏多趋势,量价齐升,MACD金叉"
605068,明新旭腾,28.16,-1.4,3122500,82.2,S,75,100,92.5,50.3,0.21,3.53,3.34,0.67,"偏多趋势,强势上涨(3日+0.2%),量价齐升"
603906,龙蟠科技,18.96,1.44,16849600,82.2,S,75,100,85.0,54.7,1.72,8.97,3.83,0.42,"偏多趋势,强势上涨(3日+1.7%),放量上涨"
600520,三佳科技,28.05,3.81,5273407,82.2,S,75,100,92.5,47.5,2.11,6.05,-1.09,0.71,"偏多趋势,强势上涨(3日+2.1%),量价齐升"
002175,东方智造,3.54,2.02,105089140,82.2,S,75,100,85.0,60.2,2.31,14.56,-1.12,0.29,"偏多趋势,强势上涨(3日+2.3%),MACD金叉"
688091,上海谊众,54.87,3.67,4300094,82.2,S,75,100,92.5,57.7,4.51,18.08,1.61,0.61,"偏多趋势,强势上涨(3日+4.5%),量价齐升"
300955,嘉亨家化,35.45,-2.93,2008286,82.2,S,75,50,100.0,45.0,-2.48,3.81,-5.01,0.17,"偏多趋势,量价齐升,MACD金叉"
000008,神州高铁,2.93,-2.01,56413444,82.0,S,40,100,100.0,40.0,0.69,2.09,-4.25,0.24,"强势上涨(3日+0.7%),MACD金叉,KDJ金叉"
688289,圣湘生物,18.93,3.56,9791568,82.0,S,40,100,100.0,41.7,3.95,4.7,-5.82,0.22,"强势上涨(3日+4.0%),MACD金叉,KDJ金叉"
000913,钱江摩托,16.02,0.69,6041700,82.0,S,100,80,85.0,57.4,-0.19,5.46,1.78,0.9,"多头排列,趋势向上,量价齐升"
600322,津投城开,2.37,0.85,17615100,82.0,S,40,100,100.0,42.3,2.16,5.8,-3.66,0.56,"强势上涨(3日+2.2%),放量上涨,MACD金叉"
002030,达安基因,6.23,0.65,12351796,82.0,S,40,100,100.0,42.9,0.65,4.53,-4.89,0.17,"强势上涨(3日+0.6%),MACD金叉,KDJ金叉"
603515,欧普照明,19.01,1.55,1397099,82.0,S,40,100,92.5,49.2,2.65,4.34,-2.66,0.49,"强势上涨(3日+2.6%),量价齐升,MACD金叉"
002059,云南旅游,5.18,1.77,12380868,82.0,S,40,100,100.0,49.4,1.37,4.02,-4.07,0.29,"强势上涨(3日+1.4%),MACD金叉,KDJ金叉"
600182,S佳通,14.4,-0.55,1204202,82.0,S,40,80,92.5,37.6,-1.84,1.48,-4.13,0.22,"趋势向上,量价齐升,MACD金叉"
