code,name,price,change_pct,volume,enhanced_score,grade,trend,momentum,tech,rsi,momentum_3d,momentum_10d,momentum_20d,position,reasons
000915,华特达因,33.47,1.12,3868607,78.2,A,100,100,77.5,71.4,1.0,3.75,3.78,0.87,"多头排列,强势上涨(3日+1.0%),放量上涨"
300769,德方纳米,46.2,-0.26,23132583,78.2,A,100,100,77.5,76.9,2.83,11.54,11.59,0.95,"多头排列,强势上涨(3日+2.8%),放量上涨"
603118,共进股份,12.77,1.83,30794981,78.2,A,100,80,85.0,56.8,-0.16,11.43,7.31,0.89,"多头排列,趋势向上,量价齐升"
603105,芯能科技,10.46,-2.24,17037985,78.2,A,100,50,85.0,54.4,-4.04,4.6,-1.23,0.72,"多头排列,量价齐升,MACD金叉"
301668,昊创瑞通,55.55,-0.09,1665376,78.2,A,100,50,85.0,56.5,-3.09,5.67,5.59,0.64,"多头排列,量价齐升,MACD金叉"
688733,壹石通,32.59,2.16,6701178,78.2,A,100,80,85.0,61.6,-0.76,9.07,6.96,0.86,"多头排列,趋势向上,量价齐升"
000726,鲁 泰Ａ,7.61,0.13,9354982,78.0,A,75,100,75.0,50.5,0.4,2.15,-0.52,0.74,"偏多趋势,强势上涨(3日+0.4%),KDJ金叉"
000596,古井贡酒,114.21,0.46,3254239,78.0,A,40,60,87.5,29.3,1.76,-1.27,-12.69,0.09,"短期反弹,量价齐升,MACD金叉"
000012,南 玻Ａ,4.82,-1.03,33397889,77.8,A,100,50,67.5,54.8,-2.43,-0.21,1.26,0.52,"多头排列,量价齐升"
002899,英派斯,31.58,-2.41,4002920,77.8,A,75,80,92.5,50.5,-1.28,7.82,1.38,0.75,"偏多趋势,趋势向上,放量上涨"
603110,东方材料,17.12,0.94,6751200,77.8,A,100,50,67.5,52.6,-3.82,0.88,-2.56,0.6,"多头排列,量价齐升"
603076,乐惠国际,26.3,-0.87,1704838,77.8,A,100,50,82.5,42.6,-2.41,2.94,4.95,0.8,"多头排列,量价齐升,KDJ金叉"
002988,豪美新材,33.27,-1.28,3189300,77.8,A,40,100,75.0,36.2,0.88,1.28,-9.67,0.16,"强势上涨(3日+0.9%),量价齐升,KDJ金叉"
003027,同兴科技,23.25,-5.18,13287205,77.8,A,75,100,92.5,50.9,4.31,7.24,1.26,0.76,"偏多趋势,强势上涨(3日+4.3%),MACD金叉"
601218,吉鑫科技,7.21,3.89,250575616,77.8,A,100,100,67.5,86.0,14.26,31.81,30.85,1.0,"多头排列,强势上涨(3日+14.3%),量价齐升"
601727,上海电气,8.85,-1.99,203565824,77.8,A,100,50,67.5,48.1,-4.22,4.12,0.68,0.47,"多头排列,量价齐升"
002084,海鸥住工,4.13,-3.73,73839390,77.8,A,75,100,92.5,47.9,5.9,8.68,-3.28,0.67,"偏多趋势,强势上涨(3日+5.9%),MACD金叉"
002310,东方新能,2.99,9.93,534703903,77.8,A,100,100,67.5,81.6,14.12,31.14,26.69,1.0,"多头排列,强势上涨(3日+14.1%),量价齐升"
002576,通达动力,19.08,0.0,4536930,77.8,A,100,50,82.5,51.1,-0.47,4.21,4.89,0.75,"多头排列,量价齐升,KDJ金叉"
603856,东宏股份,13.57,-3.0,6818300,77.8,A,100,50,67.5,44.9,-8.93,1.95,-2.51,0.51,"多头排列,量价齐升"
002653,海思科,48.87,5.46,3880084,77.8,A,75,50,92.5,52.2,3.71,8.65,2.0,0.44,"偏多趋势,量价齐升,MACD金叉"
300813,泰林生物,25.6,-0.66,1834420,77.8,A,100,50,67.5,48.0,-2.18,-1.95,-0.31,0.44,"多头排列,量价齐升"
603328,依顿电子,12.9,1.9,35098461,77.8,A,75,100,92.5,56.2,3.37,6.79,11.02,0.83,"偏多趋势,强势上涨(3日+3.4%),量价齐升"
002745,木林森,8.79,-2.01,25152457,77.8,A,75,50,100.0,45.3,-2.66,6.03,-4.97,0.22,"偏多趋势,MACD金叉,KDJ金叉"
002382,蓝帆医疗,7.81,2.9,105459515,77.8,A,100,100,67.5,92.1,13.19,31.04,29.73,1.0,"多头排列,强势上涨(3日+13.2%),量价齐升"
300610,晨化股份,12.92,0.62,10905530,77.8,A,75,100,92.5,52.6,1.65,6.6,4.45,0.83,"偏多趋势,强势上涨(3日+1.7%),量价齐升"
300405,科隆股份,7.22,-1.37,11921712,77.8,A,100,50,82.5,48.4,-1.23,5.25,1.55,0.79,"多头排列,量价齐升,KDJ金叉"
688051,佳华科技,34.57,-1.65,878842,77.8,A,75,50,92.5,42.4,-3.6,4.6,-5.83,0.15,"偏多趋势,缩量回调,MACD金叉"
002309,中利集团,3.43,-1.15,117361940,77.8,A,100,50,67.5,48.5,-3.92,1.18,0.0,0.47,"多头排列,量价齐升"
300105,龙源技术,7.77,-1.89,12493208,77.8,A,100,50,67.5,55.0,-3.72,2.1,3.19,0.59,"多头排列,量价齐升"
300569,天能重工,8.34,7.06,260413168,77.8,A,100,100,67.5,91.5,18.3,31.75,32.38,1.0,"多头排列,强势上涨(3日+18.3%),量价齐升"
688237,超卓航科,49.45,2.13,911065,77.8,A,75,100,92.5,48.9,0.32,3.52,-0.8,0.3,"偏多趋势,强势上涨(3日+0.3%),MACD金叉"
301003,江苏博云,50.7,-1.46,3644201,77.8,A,75,100,92.5,52.7,4.8,9.86,4.58,0.94,"偏多趋势,强势上涨(3日+4.8%),量价齐升"
300951,博硕科技,38.85,2.34,3014116,77.8,A,75,100,92.5,50.8,0.39,7.38,4.02,0.92,"偏多趋势,强势上涨(3日+0.4%),量价齐升"
600080,金花股份,8.66,0.7,7237901,77.8,A,100,50,82.5,52.7,-3.35,1.52,8.39,0.7,"多头排列,量价齐升,KDJ金叉"
000538,云南白药,56.79,0.87,7142594,77.8,A,75,100,92.5,52.7,0.87,1.5,-0.94,0.69,"偏多趋势,强势上涨(3日+0.9%),MACD金叉"
002515,金字火腿,6.08,-2.09,27772149,77.8,A,75,50,92.5,52.5,-4.1,7.23,1.16,0.47,"偏多趋势,量价齐升,MACD金叉"
600336,澳柯玛,7.99,-2.32,47924935,77.8,A,75,100,92.5,50.7,7.39,8.71,0.88,0.32,"偏多趋势,强势上涨(3日+7.4%),MACD金叉"
002439,启明星辰,14.55,-1.62,16471900,77.8,A,75,50,92.5,54.2,-0.95,6.67,1.46,0.44,"偏多趋势,量价齐升,MACD金叉"
301439,泓淋电力,16.83,-1.81,7149647,77.8,A,100,50,67.5,49.8,-4.86,1.26,1.32,0.55,"多头排列,量价齐升"
002475,立讯精密,49.26,-0.14,96527204,77.8,A,75,50,100.0,44.6,-0.89,3.95,-4.46,0.21,"偏多趋势,MACD金叉,KDJ金叉"
002369,卓翼科技,7.96,2.05,12916263,77.5,A,40,50,92.5,38.6,0.63,1.92,-3.86,0.15,"量价齐升,MACD金叉,KDJ金叉"
